! <Zone Information>,Zone Name,North Axis {deg},Origin X-Coordinate {m},Origin Y-Coordinate {m},Origin Z-Coordinate {m},Centroid X-Coordinate {m},Centroid Y-Coordinate {m},Centroid Z-Coordinate {m},Type,Zone Multiplier,Zone List Multiplier,Minimum X {m},Maximum X {m},Minimum Y {m},Maximum Y {m},Minimum Z {m},Maximum Z {m},Ceiling Height {m},Volume {m3},Zone Inside Convection Algorithm {Simple-Detailed-CeilingDiffuser-TrombeWall},Zone Outside Convection Algorithm {Simple-Detailed-Tarp-MoWitt-DOE-2-BLAST},Floor Area {m2},Exterior Gross Wall Area {m2},Exterior Net Wall Area {m2},Exterior Window Area {m2},Number of Surfaces,Number of SubSurfaces,Number of Shading SubSurfaces,Part of Total Building Area
Zone Information,DINING,0.0,0.00,0.00,0.00,7.62,3.81,1.52,1,1,1,0.00,15.24,0.00,7.62,0.00,3.05,3.05,354.18,TARP,TARP,116.17,92.94,66.92,26.02,6,3,0,Yes
Zone Information,KITCHEN,0.0,0.00,0.00,0.00,7.62,11.43,1.52,1,1,1,0.00,15.24,7.62,15.24,0.00,3.05,3.05,354.18,TARP,TARP,116.17,92.94,90.99,0.00,6,1,0,Yes
