! <Zone Information>,Zone Name,North Axis {deg},Origin X-Coordinate {m},Origin Y-Coordinate {m},Origin Z-Coordinate {m},Centroid X-Coordinate {m},Centroid Y-Coordinate {m},Centroid Z-Coordinate {m},Type,Zone Multiplier,Zone List Multiplier,Minimum X {m},Maximum X {m},Minimum Y {m},Maximum Y {m},Minimum Z {m},Maximum Z {m},Ceiling Height {m},Volume {m3},Zone Inside Convection Algorithm {Simple-Detailed-CeilingDiffuser-TrombeWall},Zone Outside Convection Algorithm {Simple-Detailed-Tarp-MoWitt-DOE-2-BLAST},Floor Area {m2},Exterior Gross Wall Area {m2},Exterior Net Wall Area {m2},Exterior Window Area {m2},Number of Surfaces,Number of SubSurfaces,Number of Shading SubSurfaces,Part of Total Building Area
Zone Information,BACK_SPACE,0.0,0.00,35.27,0.00,27.14,38.77,3.05,1,1,1,0.00,54.27,35.27,42.27,0.00,6.10,6.10,2317.33,TARP,TARP,379.89,416.17,375.11,0.00,6,7,0,Yes
Zone Information,CORE_RETAIL,0.0,0.00,6.00,0.00,27.14,14.41,3.05,1,1,1,0.00,54.27,3.00,35.27,0.00,6.10,6.10,9762.95,TARP,TARP,1600.48,356.86,345.15,23.78,10,22,0,Yes
Zone Information,FRONT_ENTRY,0.0,25.14,0.00,0.00,27.14,1.50,3.05,1,1,1,25.14,29.14,0.00,3.00,0.00,6.10,6.10,73.20,TARP,TARP,12.00,24.38,16.55,7.83,6,1,0,Yes
Zone Information,FRONT_RETAIL,0.0,29.14,0.00,0.00,41.70,3.00,3.05,1,1,1,29.14,54.27,0.00,6.00,0.00,6.10,6.10,919.94,TARP,TARP,150.81,189.80,151.75,38.05,7,1,0,Yes
Zone Information,POINT_OF_SALE,0.0,0.00,0.00,0.00,12.57,3.00,3.05,1,1,1,0.00,25.14,0.00,6.00,0.00,6.10,6.10,919.94,TARP,TARP,150.81,189.80,151.75,38.05,7,1,0,Yes
