! <Zone Information>,Zone Name,North Axis {deg},Origin X-Coordinate {m},Origin Y-Coordinate {m},Origin Z-Coordinate {m},Centroid X-Coordinate {m},Centroid Y-Coordinate {m},Centroid Z-Coordinate {m},Type,Zone Multiplier,Zone List Multiplier,Minimum X {m},Maximum X {m},Minimum Y {m},Maximum Y {m},Minimum Z {m},Maximum Z {m},Ceiling Height {m},Volume {m3},Zone Inside Convection Algorithm {Simple-Detailed-CeilingDiffuser-TrombeWall},Zone Outside Convection Algorithm {Simple-Detailed-Tarp-MoWitt-DOE-2-BLAST},Floor Area {m2},Exterior Gross Wall Area {m2},Exterior Net Wall Area {m2},Exterior Window Area {m2},Number of Surfaces,Number of SubSurfaces,Number of Shading SubSurfaces,Part of Total Building Area
Zone Information,GYM_ZN_1_FLR_1,0.0,79.00,14.00,0.00,98.00,40.00,4.00,1,1,1,79.00,117.00,14.00,66.00,0.00,8.00,4.00,15808.00,TARP,TARP,1976.00,0.00,0.00,80.28,10,54,0,Yes
Zone Information,KITCHEN_ZN_1_FLR_1,0.0,117.00,66.00,0.00,129.00,70.50,2.00,1,1,1,117.00,141.00,66.00,75.00,0.00,4.00,4.00,864.00,TARP,TARP,216.00,36.00,23.40,12.60,6,1,0,Yes
Zone Information,LIBRARY_MEDIA_CENTER_ZN_1_FLR_2,0.0,117.00,66.00,4.00,129.00,83.50,6.00,1,1,1,117.00,141.00,66.00,101.00,4.00,8.00,4.00,3360.00,TARP,TARP,840.00,236.00,153.40,82.60,8,2,0,Yes
Zone Information,LOBBY_ZN_1_FLR_1,0.0,64.00,0.00,0.00,71.50,7.00,2.00,1,1,1,64.00,79.00,0.00,14.00,0.00,4.00,4.00,840.00,TARP,TARP,210.00,60.00,37.05,21.00,7,3,0,Yes
Zone Information,LOBBY_ZN_1_FLR_2,0.0,64.00,0.00,4.00,71.50,7.00,6.00,1,1,1,64.00,79.00,0.00,14.00,4.00,8.00,4.00,840.00,TARP,TARP,210.00,60.00,39.00,21.00,7,1,0,Yes
Zone Information,MAIN_CORRIDOR_ZN_1_FLR_1,0.0,64.00,14.00,0.00,71.50,52.00,2.00,1,1,1,64.00,79.00,14.00,90.00,0.00,4.00,4.00,4560.00,TARP,TARP,1140.00,140.00,87.10,49.00,14,6,0,Yes
Zone Information,MAIN_CORRIDOR_ZN_1_FLR_2,0.0,64.00,14.00,4.00,71.50,52.00,6.00,1,1,1,64.00,79.00,14.00,90.00,4.00,8.00,4.00,4560.00,TARP,TARP,1140.00,140.00,91.00,49.00,14,2,0,Yes
Zone Information,MECH_ZN_1_FLR_1,0.0,79.00,66.00,0.00,98.00,70.50,2.00,1,1,1,79.00,117.00,66.00,75.00,0.00,4.00,4.00,1368.00,TARP,TARP,342.00,0.00,0.00,0.00,6,0,0,Yes
Zone Information,MECH_ZN_1_FLR_2,0.0,79.00,66.00,4.00,98.00,70.50,6.00,1,1,1,79.00,117.00,66.00,75.00,4.00,8.00,4.00,1368.00,TARP,TARP,342.00,0.00,0.00,0.00,6,0,0,Yes
Zone Information,MULT_CLASS_1_POD_1_ZN_1_FLR_1,0.0,11.00,0.00,0.00,37.50,4.50,2.00,1,1,1,11.00,64.00,0.00,9.00,0.00,4.00,4.00,1908.00,TARP,TARP,477.00,212.00,133.90,74.20,6,5,0,Yes
